"Estimate","CI_lower","CI_upper","std_error","var"
0.336470886081774,0.335990637456139,0.336951134707409,0.000238980166933483,"H1_cum_intensity"
0.0100861362952346,0.00998346945613817,0.0101888031343311,5.10888257376776e-05,"IVB_cum_intensity"
0.0659150436442554,0.0657270305570911,0.0661030567314197,9.35586205933126e-05,"prior_dom_type_national"
0.0369991872854561,0.0368486604007251,0.037149714170187,7.49048266269427e-05,"H3_epi_size_prior"
0.0140453370439705,0.0139626783408136,0.0141279957471275,4.11324252158914e-05,"H1_epi_size_prior"
0.00556850923663792,0.00549473460696709,0.00564228386630875,3.67115539183394e-05,"IVB_epi_size_prior"
0.00682347473284699,0.00676869282001738,0.0068782566456766,2.72604438079481e-05,"usa_bhatt_ep_mean"
0.00943562533487306,0.00937535460739685,0.00949589606234927,2.99917745614311e-05,"usa_wolf_ep_mean"
0.0472695939561043,0.0470920544452119,0.0474471334669966,8.83467847394368e-05,"NA_bhatt_ep_lag1"
0.00347650171169951,0.00343090122353597,0.00352210219986305,2.26916053308258e-05,"NA_bhatt_nonepitope_lag1"
0.00974327227350633,0.00967372367932966,0.009812820867683,3.46086042919298e-05,"HA_koel_lag2"
0.0427389292084188,0.0425598646803365,0.0429179937365012,8.91056601285328e-05,"HA_titer_tree_lag2"
0.156455612384695,0.156064941209975,0.156846283559416,0.000194404851086197,"HA_wolf_lag2"
0.0125486023682323,0.0124583728172387,0.0126388319192259,4.48998123217737e-05,"HA_wolf_nonepitope_lag2"
0.0553265156596658,0.055149900894174,0.0555031304251576,8.78866151556206e-05,"HA_std_lbi"
0.0184639149927203,0.0183625391843184,0.0185652908011221,5.0446386146102e-05,"NA_std_lbi"
0.0395718566622409,0.0394160062676422,0.0397277070568397,7.75538988136386e-05,"vac_combined"
0.00729321858382646,0.00721443592450705,0.00737200124314588,3.92036375965496e-05,"vac_combined_prior"
0.00716433322370814,0.00709618127766182,0.00723248516975446,3.39136076057924e-05,"vac_cov_combined_prior"
0.0173940337068461,0.0173093086176873,0.0174787587960049,4.21606952520971e-05,"weighted_VE"
0.0315924053996107,0.031438936250482,0.0317458745487394,7.636894916557e-05,"weighted_VE_prior_season"
